Epoch,LOSS,NDCG,HR
0,0.5164573895105741,0.0438626014157681,0.096
1,0.5004636156773163,0.05163275363149087,0.112
2,0.500028415035457,0.05076945919255218,0.114
3,0.49537558155743505,0.08076819189373487,0.156
4,0.46911614733529966,0.13194455122124674,0.242
5,0.4218938443494596,0.193421186231736,0.342
6,0.3853952252005025,0.22210230741779813,0.388
7,0.3649236789662323,0.24337560131535554,0.414
8,0.35342675520761174,0.2453916360697914,0.424
9,0.34603214505380847,0.24787413836132674,0.434
10,0.3402752085945774,0.24631852126691148,0.436
11,0.3351366961725445,0.25346281444650304,0.452
12,0.33011745844350193,0.25296020776513406,0.446
13,0.3251181695861757,0.25268783258912697,0.448
14,0.32009113725803084,0.2597191491059549,0.46
15,0.31504429060398503,0.26380795922875167,0.472
16,0.31012057523005465,0.2642531219775461,0.474
17,0.30543815101417765,0.27130035137061004,0.484
18,0.30102943269428356,0.26933235642459513,0.484
19,0.29707017946405473,0.27111465084282976,0.486
20,0.29303900857735277,0.27736274455599846,0.49
21,0.2894759583401468,0.28043197832536976,0.508
22,0.2861708181078638,0.2821641065920057,0.516
23,0.28318198573525905,0.2935445901081165,0.536
24,0.2803603655356669,0.2942827742931652,0.542
25,0.2778336230698585,0.29825801667331797,0.542
26,0.27532071972156347,0.29783639815434354,0.546
27,0.27318038936582884,0.3024462703078566,0.552
28,0.27099015641572194,0.30477476299758727,0.552
29,0.26898391387047993,0.3038310599449842,0.552
30,0.26713435404872093,0.30561269106312966,0.554
31,0.26534351486483315,0.30532749321486585,0.556
32,0.26366492773191935,0.30342351062358486,0.552
33,0.2621018948076014,0.3092810125704796,0.556
34,0.26064843313660313,0.3090031345844693,0.558
35,0.25917400625178105,0.3115195011945002,0.558
36,0.25785231735435804,0.31457279484020156,0.568
37,0.2567091504462452,0.3139661395013721,0.564
38,0.25542130089286486,0.3143084898280369,0.56
39,0.2542494023990386,0.31594385834679006,0.562
40,0.2531140072951241,0.31567315659381984,0.564
41,0.2521019129340205,0.3177500527605218,0.566
42,0.25114028602084754,0.31984983908111475,0.564
43,0.25009016989271055,0.31988733057975105,0.568
44,0.24929724318931681,0.3194125961512765,0.564
45,0.24835757883978768,0.3198907239105259,0.57
46,0.24759079239510043,0.32000519219819623,0.566
47,0.24676864745494023,0.3242398969742179,0.576
48,0.24608432650098247,0.32096218724251846,0.574
49,0.2453532844337414,0.3249908599941563,0.576
50,0.24469793015841143,0.3244350910482287,0.568
51,0.24408632106188807,0.3274337861573078,0.576
52,0.24347313943215218,0.3275023883542138,0.58
53,0.24290003848080025,0.3260046025040158,0.58
54,0.24223979357704742,0.32521458907460077,0.576
55,0.2416940205905131,0.32818466488614073,0.584
56,0.2412736099723453,0.32575613995633723,0.578
57,0.24071967110139172,0.32749433433660624,0.584
58,0.24021772497323676,0.3284435737555442,0.578
59,0.2398012899818864,0.32846112859643073,0.586
60,0.23946932829447323,0.32649069886236826,0.584
61,0.23895629952320063,0.328752306339495,0.586
62,0.23851156207709626,0.3309750397951971,0.59
63,0.23815255631628865,0.3331143984799514,0.592
64,0.23781986367597477,0.32738701722983854,0.578
65,0.23743036526848088,0.32941985584963424,0.59
66,0.23713692198394584,0.3261454859913531,0.584
67,0.23668964041214058,0.330117536580271,0.578
68,0.23642505469739947,0.3331166275970167,0.59
69,0.2361445083496834,0.3318910423755564,0.586
70,0.23584573401163203,0.3290958773431064,0.58
